"content","Layanan","Transaksi","Performa Aplikasi","Keamanan"
"Aplikasinya ketutup sendiri waktu mau buka katanya ada bug....","0","0","-1","0"
"Gak bisa"" masuk aplikasi , bikin capek, ini yg ke 2 minta diperbaharui, repotin aj","0","0","-1","0"
"kl update knpa gabisa ditunda ya. jdi males kl mau login hrus updateeee. apalagi kl penyimpanan penuh, jujur jadi kesel🙏🏻","0","0","-1","0"
"Transaksinya cepat sukses selalu BSI","0","1","0","0"
"Setelah update, malah gk berfungsi di hp saya, pdahal kompatibel, udh uninstall malah makin menjadi, parah ni BSI, sudah ada update lgi, tpi masih BSI yg sama, gk bisa dibuka sama sekali !!!","0","0","-1","0"
"Kenapa aplikasi bsi mobile belum 1 bulan slalu minta update kalau tidak diupdate tidak bisa dibuka. Mohon jangan sering2 update aplikasinya. Boleh update tapi lihat jangka waktu dan tetep harus bisa dibuka meskipun minta diupdate","-1","0","-1","0"
"Dengan BSI mobile lebih mempermudah transaksi,terus melancarkan perekonomian negara.BSI is the bess","1","1","0","0"
"Udh di upgrade malah makin kacau , makin lambat buat emosi","0","0","-1","0"
"Kenapa aplikasi tiba"" gabisa dibuka dan ada tulisan permintaan kehabisan waktu? Apa maksudnya?mau transaksi jadi susah","0","-1","-1","0"
"Kok di update malah ga bisa screnshoot. Gimana utk dwnload bukti tfnya?","0","-1","-1","0"
"Aplikasinya sangat ribet!!!! Isi pulsa tak ada pencarian kontak. Liat nomor rekening harus buka info saldo. Seharusnya nomor rekening tertera di beranda dan bisa langsung salin kalau mau share nomor rekening.. Ntah saya yg kurang faham atau gmn ini aplikasi. Jadi bikin males tapi mau gimana? Perusahaan mewajibkan bank ini.","-1","-1","-1","0"
"Eh... Update terbaru ngapain gak bisa di screen shot, lol banget... Haduh..., Padahal penting buat buktiin buat orang udah di tranfer atau gimana haduh...","0","-1","-1","0"
"kok bsi mobile bgni sih... knp ngak bisa di screenshot, baik cek saldo, kirim bukti transaksi dll.... min tolong di perbaiki ulang lagi lah.. nyesel updatenya...","0","-1","-1","0"
"Kabar / informasi tepat ,informasi tepat ,","1","0","0","0"
"Akan lebih nyaman lagi kalau tidak disertai dengan pembaharuan aplikasi. Tolong pemahaman nya untuk tidak setiap saat pembaruan 🙏🙏🙏🙏🙏","-1","0","-1","0"
"Saya barusan Update, saya mau TF gak bisa karena mau isi Kata Sandi gak bisa karena terhapus otomatis saat baru nulis 2 huruf, jadi ini bagaimana?","0","-1","-1","-1"
"Kenapaa setelah di update gak bisa screenshoot saldo sm transferan. Padahal penting bgtttttt. Tolong di perbaiki kembali !!!!! Itu sangat"" Mengganggu bgtttt. Perbaiki apk secepat nya. Itu kebutuhan juga soal nya buat bukti transfer an.","0","-1","-1","0"
"Close overlapping pop ups ?? Maksudnya apa ya.ribet gak bisa aktifasi.aplikasi sampah","0","0","-1","-1"
"stlh diupdate agak lama loadingnya dan tidak bsa ss sisa saldo","0","0","-1","0"
"App sy tidak bisa buat kata sandi yg keluar close overlapping,mohon solusinya","0","0","-1","-1"
"Update 8 September 2024, ambil link dari transaksi favorit aplikasinya malah stop.","0","-1","-1","0"
"Apa versi terbaru mulu...baru kemaren up date...skrg up date lg...gila x ya.. suru up date tiap minggu...di update jg heng..hadeuhhh bener2 gak nyaman ini aplikasi","0","0","-1","0"
"Habis update versi malah gk bisa screenshoot resi pembayaran","0","-1","-1","0"
"Kebanyakan update, kalau gak di update gak bisa di pakai","0","0","-1","0"
"Dari segi aplikasi yg baru, sangat tidak nyaman. Salah satu masalah adalah dia tidak bisa screenshot hasil transaksi.. aduuhh.. akan susah ngirim bukti transfer kalau seperti ini, bagaimana mau dipercaya orang lain kalau bukti TF gaada.. harus ketemu langsung dan itu wasting time.. 🥱 Yg kedua tidak ada notif jika transfer dari orang lain masuk.. akan lebih bagus ketika setiap transaksi seperti transfer atau menerima transfer mendapatkan informasi/resi bahwa sudah menerima atau mengirimkan uang","-1","-1","-1","0"
"Apa yang terjadi dengan BSI MOBILE??masuk gak bisa,lihat saldo gak bisa selalu keluar *waktu permintaan telah habis* jika memang ada kendala tolong ada notifikasi untuk custamer","-1","0","-1","0"
"Assalamualaikum selamat pagi..knpa ya setelah saya instal ulang kok gk bsa buka kta sandi saya ya","0","0","-1","-1"
"Update versi terbaru hasilnya bukti transfer tdk bs di screenshot. Yg menggunakan tampilan mode gelap hasil download resi nggak kelihatan tulisannya. Terpaksa hrs pindah ke mode terang dulu. Kok ribet ya??? Bisakah update versi yg lbh mempermudah penggunanya??","0","-1","-1","0"
"Setelah update 2 Minggu yang lalu, BSI mobile tidak bisa lagi dipergunakan selalu muncul close overlapping popups .nanya CS dan sudah diikuti sarannya, sampai aktivasi ulang 30kali tetap sama. Gimana tanggung jawab anda BSI, yang bener dong buat aplikasi","-1","0","-1","0"
"Apa gunanya verivikasi wajah kalo ujung ujungnya suruh datang ke kantor cabang.mohon di tindaklanjuti, dan diperbaiki aplikasinya,katanya aplikasi mobile banking untuk memudahkan nasabah,tapi kok malah merepotkan..","-1","0","-1","-1"
"Weeehh... Wajib update ulang nih. Baca ulasan2 yg lain, malah banyak pd komplen n kecewa dengan mengupdate apk. ADUH jadi ragu2 n ngeriiiih nih... Wkwkw wkwwkk 😅 Kalau nggak di update tahu sendiri nggak bs buka aplikasi nya. Eeeh malah gak cukup ruang penyimpanan. Kumaha iye.. fulllll","0","0","-1","0"
"Ini kenapa sekrg aplikasinya susah dibuka dengan alasan permintaan habis, padahal udah diupdate","0","0","-1","0"
"per hari ini, setelah download lagi aplikasinya, ternyata belum bener juga, aktivasi ulang susah, masukin data sering muncul notif OVERLAPPING POPUPS, INTERUPPTED, udah ambil foto berkali-kali sampe verifikasi via video call masih ga bisa juga.. nyesel bgt update aplikasi BSI, BUKANNYA MAKIN BENER DAN MEMUDAHKAN MALAH MAKIN ANEH DAN NYUSAHIN 👎","-1","0","-1","-1"
"aplikasi sy tidak bisa digunakan.logout terus","0","0","-1","0"
"Kenapa setelah di upgrade uang yang saya tranfer dari dana ke rekening bsi tidak masuk yaa... ? Padahal aktivitas dari dana sudah berhasil transaksi ke bank bsi. Itu gimana ya maksudnya?? Jadi uang yg saya transfer masuk kemana yaa, di cek bolak balik melalui apk mobile banking bsi tapi nilah uang nya tetap seperti dia awal tidak bertambah jumlah nya.","0","-1","-1","0"
"Ko belakangan ini BSI mobile harus update Mulu , pdhal terkahir baru aja di update smpe harus kosongkan ruang , tolong dong diperbaiki","0","0","-1","0"
"Setelah di update kata sandi gak bisa lagi.kenapa jelek sekali aplikasi nya sekarang","0","0","-1","-1"
"LOL bgt apk nya, mau buka rek via mobile karna belum punya rekening sendiri malah diribetin sama captcha nya, jadi ga minat buat buka rekening jadinya baru tau anjir ada saldo di blokir, parah bgt bsi, katanya ga ada potongan, ga ada bunga, embel embel syariah, tapi ada saldo ngendap 50k , kocak bener 🫵 btw sebelumnya ak pake BNI ga ada namanya saldo ngendap, bahkan bisa ditarik sampe 0,nyesel pake BSI sumpah wkwkwk","-1","0","0","-1"
"Saya sangat terbantu dengan BSI Mobile ini makanya saya tak perlu lagi pergi ke Bank untuk ngirim belanja anak saya yg sedang kuliah.Besar kali manfaatnya","1","1","0","0"
"setelah update gak bisa screenshot. padahal penting banget buat bukti pembayaran..","0","-1","-1","0"
"Setelah di upgrade malah tak bisa di screenshot dan masukkan sandi tidak bisa disembunyikan","0","0","-1","-1"
"Setelah saya perbarui aplikasi BSI nya, kenapa jadi tidak bisa Screenshot ya ? Padahal kemarin"" saya masih bisa SS untuk share bukti kalau ada transfer-an uang masuk ke rekening saya. Tapi kenapa sekarang tidak bisa di Screenshot ya aplikasinya ?","0","-1","-1","0"
"Saya telah menjadi nasabah bsi sejak 3 tahun silam alhamdulillah tidak ada kendala apapun dan saya merasa cukup puas tapi kali ini ketika saya mau mengaktifkan bsi mobile cukup sulit dibagian deteksi wajah... Tolong dipermudahkan agar saya bisa menggunakan bsi mobile. (terimakasih)","0","0","1","-1"
"Min ini kok ngga bisa aktivasi ya, terus muncul notif ""overlapping notifications"" mulu","0","0","-1","-1"
"Kenapa nge update terus yaaa... sudah saya update ke versi terbaru. Baru 3 minggu, ini update lagi. Kenapa bisa begitu ya? Tolong di perbaiki dong..🥺","0","0","-1","0"
"Apk nya sangat membantu dan mudah sekali saat bartransaksi","0","1","1","0"
"Mau buka menu di aplikasi ad tulisan Transaksi Tidak Dapat diproses (100), ini gimana kak","0","-1","-1","0"
"Min knp min Saya sudah login tapi malah ada tulisan close overlapping popups Gmn ini min","0","0","-1","0"
"Kenapa ya sering kali update terus pdhl bru di update beberpa minggu lalu tp udaa update lg.😫","0","0","-1","0"
"Knp gk bisa scansot lagi setelah di perbaharui,terus kami kasih bukti transfer bgmn ni,,payah","0","-1","-1","0"
"Ko sering banget harus di update ,jadi memori hape tuh penuh terus jadi susah untuk update nya","0","0","-1","0"
"Kenapa bsi mobile sekarang harus update tiap bulan ya?","0","0","-1","0"
"Kenapa siap di update tidak bisa di SS bukti TF nya itu, padahal itu yg perlu buat bukti udh di TF , tolong diperbaiki min","0","-1","-1","0"
"Padahal udah di update kemaren tanggal 2, kenapa ini diminta untuk update lagi, enggak paham lagi sekarang dengan aplikasi BSI Mobile","0","0","-1","0"
"BSI Mobile jelek banget... Pas mau copas norek dari aplikasi lain, malah overlapping Mau pake flip pake acara sistem tak beroperasi ampe tengah malem, pas ditungguin gangguan Ditambah suka ngehang, tombol2nyaa... Terus ada acara nunggu dulu tombol hijau, apa2an.. Yang ada tuh, aplikasi dibuat semudah mungkin, secepat mungkin.. Jelek bangett, plis banget pembuat aplikasi tolonglah jangan mempersulit urusan orang...","-1","-1","-1","0"
"Kenapa sekarang susah kali ya aplikasinya. Mau transfer selalu muncul pop-up colse uverlapping, resi yang pakai mode gelap sebagian resinya gk kelihatan sama sekali. Dulu ngakalinya di SS aja. Sekarang mau di SS gk bisa lagi. Mohon untuk diperbaiki lagi","0","-1","-1","0"
"Harus update dlu klo mau pake tanpa kasih batasan waktu tuk menunda, bayangin aja apa yg terjadi klo urgent & gada waktu buat nunggu update? Apalagi dengan kualitas pemerataan jaringan di negri ini, ngarep apa? Jawaban bot?!?","-1","0","-1","0"
"Setelah diupdate malah ga bisa dioperasikan yah. Mohon diperbaiki aplikasinya..","0","0","-1","0"
"Aplikasi nya sebentar2 harus perbarui,klo ga perbarui ga bisa dibuka,masa dalam waktu 3 hari doang harus perbarui lagi,nyusahin sih..","0","0","-1","0"
"Dari pagi jam 10 tulisan nya slalu update, pas di klik update slalu muter terusss sampai sekarang menjelang sore😥","0","0","-1","0"
"kenapa ini aplikasi update mulu capek gua, terus setiap update saldo kepotong lgi malas seh pake BSI","0","-1","-1","0"
"Sangat membantu & mmpermudah saya Mintak tolong utk mesin ATM nya, cobak d stiap per/kec d kasih biar g jauh²...🙏🙏🙏","1","0","0","0"
"Ini maksudnya apa ""CLOSE OVERLAPPING POPUPS"" Ketik gak bisa, transfer gak bisa.","0","-1","-1","0"
"Maaf,,sesudah d update kenapa sangat sulit d buka,,pa ya masalahnya","0","0","-1","0"
"Disaat aplikasi banking lain di buat simple dan cepat. BSI kebalikan. Non transaksi juga harus masukkan password dan pin. Livin' Mandiri malah cukup swipe saja dari landing page nya utk cek saldo.","-1","0","-1","-1"
"Setelah Update malah makin parah ga bisa masuk, mulai dari Time Out, sampai Close Overlapping Popups","0","0","-1","0"
"Assalamualaikum kak, maaf habis update ketikan untuk kata sandi di aplikasi sering salah2 terus, capslock mati nyala sendiri. Tp diaplikasi lain aman2 saja. Kok gini ...","0","0","-1","-1"
"Habis update untuk saldo gak bisa di scren shoot, jadi agak sulit untuk nyimpen saldo terakhir...","0","0","-1","0"
"Kenapa aplikasi bsi banking sering susah dibuka ya? ""Permintaan kehabisan waktu"" Sering sekali keluar notif ini. Status aplikasi sudah di upgrade. Kami download banking biar lebih memudahkan dlm melakukan transaksi. Tp kalau gini ceritanya malah jadi bikin nasabah makin repot. Aduhh kecewa berat sama bank bsi yang layanan nya di bawah standar","-1","0","-1","0"
"Kinerja aplikasinya buruk, sering keluar sendiri. Update juga gak ada pengaruhnya.","0","0","-1","0"
"Kebanyakan update, bahkan belum sebulan udah harus update","0","0","-1","0"
"tolong jangan keseringan update, setelah di update malah ngeleg apk nya","0","0","-1","0"
"Habis update jadi ga bisa screenshot","0","0","-1","0"
"Sekarang tidak bisa screenshoot layar. Mohon bisa di perbaiki lagi. Karena sering untuk cek² bukti transaksi kakak. Terima kasih","0","-1","-1","0"
"Aplikasinya selalu mau di update, setiap di buka harus di update","0","0","-1","0"
"Waduh ini knpa y ko suruh pembaruan versi baru","0","0","-1","0"
"Saya kecewa, baru tanggal 2 update aplikasi, skrg tanggal 9 sudah update lagi, dimana memory hp sudah full, lagi butuh transaksi cepet, harus hapus aplikasi lainnya lagi biar bisa dibuka, sangat tidak efektif dan efisien","-1","-1","-1","0"
"Assalamualaikum.. mau tanya, aplikasi tidak dapat dibuka karena terdeteksi root bagaimana solusinya ya? Hp masih standar/tidak diroot.. tq","0","0","-1","-1"
"ini kalo saya mau screenshoot terus gimana caranya. kemanan sih keamanan tapi ini namanya nyusahin orang woy","0","0","-1","-1"
"Kenapa di suruh update terus? Pdhl belum ada sebulan update, tpi sudah diminta update lagi. Pas mau update di GooglePlay,malah gak bisa. Yg tadinya mau transaksi bisa jadi gampang, ini malahjadi susah","0","-1","-1","0"
"Di-update kok malah ga bisa screenshot bukti bayarnya sih","0","-1","-1","0"
"abis d update malah ga bisa d screenshot , 👎pdahal ss buat jdwal solat","0","0","-1","0"
"Assalaamu'alaikum.. Mau tanya kenapa tadi saya melakulkan notiv adzan setelah itu aplikasinya susah di buka udah di muat ulang masih tetap tidak bisa.. Mohon bantuan nya? Kalau misal saya uninstal untuk mssuk kembali susah nggak yaa..","0","0","-1","0"
"Aplikasinya jelek, kalo ada gaji masuk tidak ada notifikasi. Bintang 1 dulu","-1","-1","0","0"
"Ini knpa ya sekarang mobile banking kadang 5x buka baru bisa di gunakan applikasi nya? Kok jadi banyak masalah applikasi ini....","0","0","-1","0"
"Ini kenapa skrg sering bgt update aplikasinya...jd ga ngaman dipake Mbanking BSI","0","0","-1","-1"
"Saya rasa agak ribet. Untuk melihat info saldo atau daftar mutasi aja harus 2 kali masuk kan password dan pin. Kemudian sebelum nya saya bisa melakukan screenshot untuk daftar mutasi saya. Tapi setelah saya melakukan update, saya tidak bisa melakukan screenshot. Jika mmng tidak bsa lagi kenapa tidak di buat fitur untuk mengunduh daftar mutasi ke bentuk dokumen atau pdf.","0","-1","-1","-1"
"Tiap bulan minta update!!!! Gilaaa y ni mbile bukannya mempermudah tp malah mempersusah!","0","0","-1","0"
"Kenapa informasi saldo tidak bisa di screenshot ya... Jdi susah buat nyimpan foto informasi saldo gitu.. Harus login lagi. Mohon gmna agar bisa di screenshot ya","0","0","-1","0"
"Aplikasi tidak dapat di buka.. Katanya kata sandi salah. Padahal kata sandi nya sudah betul","0","0","-1","-1"
"Kenapa diaplikasi ga ada laporan riwayat transaksi keluar masuk uangnya sih, jadi ga bisa cek tf masuk tgl berapanya.. Tolong bikin aplikasinya yg lengkap masih bnyak Bug nya lg...","-1","-1","-1","0"
"Kebanyakan update, 1bln bisa 2kali update, bikin gak nyaman aja lu","0","0","-1","0"
"Mohon saldo rekening bisa discreenshot di aplikasi, tidak usah di blokir tidak bisa screenshot","0","-1","-1","0"
"Upgrade trs ,giliran di upgrade gk bisa2 ,tertunda mulu keterangannya","0","0","-1","0"
"Tolong saya mba.knpa setelah di instal ulang.ngecek saldo susah bgt.","0","0","-1","0"
"ini kok buat isi vouchar hp status transaksi berhasil tapi pulsanya nggak masuk..","0","-1","0","0"
"Ko setelah update, ga bisa screenshoot saldo & mutasi rekening sih? Padahal bisa screenshoot membantu bgt buat saya untuk memastikan bukti kevalidan data terakhir apabila terjadi hal yg tdk diinginkan. Tolong kembalikan fitur bisa screenshoot lagi ke dalam aplikasi BSI Mobile ini, terimakasih dan tolong dibantu","0","-1","-1","-1"
"makin di update bukannya makin canggih malah makin ga jelas, jawaban di ulasan pun template,, bukannya di perbaiki malah nyuruh ke cabang. harusnya kalo yang masalah aplikasi di PlayStore, jawabnnya selesai di play store jg. bukan disuruh balik ke cabang lagi","-1","0","-1","0"
"BSI Setelah di update sekarang ga bisa dibuat screenshot lagi","0","0","-1","0"
"setelah update malah gabisa memasukkan kata sandi","0","0","-1","-1"
"verivikasi wajah sangat sulit, lihat banyak coment menilai 1 bintang, dan balasan dari pihak BSI suruh menghubungi kantor cabang. yg seharusnya bisa jadikan masukan untuk memperbaiki aplikasi dan bukan dengan datang ke kantor cabang. banyak aplikasi yang menggunakan verivikasi wajah tapi tidak SEBURUK BSI. terimakasih","-1","0","-1","-1"
"Dalam 2 minggu ini kenapa selalu disuruh update/ instal ulang ya jk tdk mk saya tak bisa buka BSI dihp.","0","0","-1","0"
"Aplikasinya ribet..sy jg tdk bisa melihat riwayat transaksi..","0","-1","-1","0"
"BSI skrg kenapa gini ya minta update terus. Baru beberapa hari di update, udh minta update lagi","0","0","-1","0"
"Selesai update aplikasi malah nggak bisa screenshot!!!","0","0","-1","0"
"Saya melakukan pembelian voucher pulsa telkomsel di bsi mobile, saldo rek saya berkurang tapi voucher pulsa yang saya beli tidak masuk juga, ini ada apa ya dengan bsi mobile kok bisa seperti ini parah banget","-1","0","-1","0"
"di update malah banyak iklan, huuuuh payah bsi","-1","0","-1","0"
"Nyesel banget update BSI karna tidak bisa screenshot hasil transaksi untuk bukti pembayaran!!!!!! Tolong di perbarui!!!!","0","-1","-1","0"
"Sekarang BSI kseringan hrs di update trs ya ,, ksian sma hp yg ram nya kecil ..","0","0","-1","0"
"Maaf sy kasi bintang 2, karena setelah di-update bukannya bagus, malah selalu gangguan tiap kali buka aplikasinya. Mohon untuk segera perbaiki, masalah menghubungi call center percuma, tetap aplikasinya ga bisa dipake. Mohon perbaiki secepatnya. 🙏🏻","-1","0","-1","0"
"Pie to iki bos e, baru update tadi sore, eh malah eror, isi pulsa Telkomsel malah gak masuk dan saldo terpotong pula ( tercatat di riwayat transaksi ), ya gimana ya, walau jumlah kecil tapi tetep aja kecewa. Bukanya tambah bagus karena update, eh malah eror. Ayolah diperbaiki. ini baru isi pulsa, gimana kalau ada transaksi besar yang dilakukan oleh orang lain. *Tadi pas isi pulsa sudah saya cek dan nomernya bener dan tadi sudah komplain di aplikasi BSI mobile","-1","-1","-1","0"
"setelah update malah gak bisa di Screenshoot bukti di aplikasi bsi mobilenya, padahal penting buat bukti transfer ! Gimanaaaa to ! Tolong diperbaiki biar bisa discreenshoot buat bukti transfer","0","-1","-1","0"
"ini verifikasi wajah sulit banget nyoba sampe sejam gak bisa, bsi niat sih buat apk","0","0","-1","-1"
"saya sudah lama pakai BSI mobile dan gak pernah ada masalah apa"",, tapi kenpa sekarang jadi sering update dan suka stuck di layar awal ,, padahal versi"" yang waktu kebelakang gak ada maslah","0","0","-1","0"
"Udah update jdi gak bisa screenshot","0","0","-1","0"
"Masa seminggu sekali update, mau do update lagi gak bisa..saya butuh banget buat trf m.bangking","0","-1","-1","0"
"Belum sampe sebulan yg lalu diminta perbarui, dan skrg dah diminta lagi perbarui aplikasi nya.. jangan sering2 ya dek ya..","0","0","-1","0"
"Setelah Update 6 September 2024,, Tepatnya hari ini, Screenshot Saldo untuk biasanya kebutuhan pekerjaan sudah tidak bisa lagi di gunakan.. Sudah aplikasi sering permintaan waktu habis,, Close sendiri, sekalinya update bukan perbaikannya ke aplikasi, Malah jadi menggangu proses pekerjaan.. Kalau sudah di perbaiki 👍, Saya kasih Bintang 5 nanti.","-1","-1","-1","0"
"Untuk transfer antar rekening bsi ada masalah, sedangkan versi sebelum ini baik² saja","0","-1","-1","0"
"Mempermudah transaksi tanpa ribet. Makasih MB BSI","1","1","0","0"
"Bolak balik update tapi fitur ga ada yg baru. Sering notif waktu habis n close sendiri. Mobile banking yg lain lancar² aja padahal. 😫","0","0","-1","0"
"Assalamualaikum Kenapa sekarang setelah update makin rumit ??? Screenshoot tidak bisa lagi ? ?? Harus menggunakan hp 1 lagi jntuk moto layar Hanya HP Iphone hang bisa Ingat,, nasabah anda tidak semua pengguna iphone Golong kembalikan seperti awal Terima kasih","0","-1","-1","0"
"Halo tadi saya udah berkali kali kena overlapping di KC bersama CS tetapi dengan mudah hanya dengan format bisa kembali melakukan aktivasi. Mohon perbaikan nya dengan banyak yang berharap BSI bisa menyelesaikan masalah ini. Terima kasih","-1","0","-1","0"
"Kenapa bentar2 aplikasi BSI mobile ini hrs diinstal ya ??? Baru sekitaran 2 pekan yg lalu sy instal, eehh hrs install lg. 😠Kecewa sy","0","0","-1","0"
"Kenapa kalau menggunakan paket data aplikasi BSI mobile tidak bisa dibuka tolong diperbaiki lagi sistemnya","0","0","-1","0"
"Kenapa minta upgrade terus, nggak cukup memori saya ini","0","0","-1","0"
"Setelah di Update malah tidak bisa di Screenshot. Untuk membuat laporan jadi susah harus pakai hp lain.","0","-1","-1","0"
"Kalau bisa utk lihat saldo, ga perlu pake password lagi .jd tinggal masukin kata sandi dan bisa mudah ke cek saldo aja.","0","0","-1","-1"
"belum ketemu aplikasi yang seribet ini luar biasa ribetnya","0","0","-1","0"
"Yang masih menjadi pertanyaan kenapa harus selalu diperbaharui, dan itu memakai data supaya bisa diperbaharui kenapa tidak sekalian diciptakan versinya? Supaya tidak perlu diperbarui secara berulang-ulang.","-1","0","-1","0"
"Kenapa trlalu sering perbarui aplikasi nya sih?? Setiap mw di update pasti hrs ad aplikasi yg dhpus lgi","0","0","-1","0"
"Sangat membantu saya. Memudahkan dan melancarkan aktivitas keuangan saya. BSI Mobile the best","1","1","0","0"
"Lama lama buruk x bsi, uda mulai ikut apk bank sebelah baru 2bln lalu di upgrade ni di suru lg upgrade, capek x urusin ky gni ribet bgi Kami yg kerja kasar","-1","0","-1","0"
"3minggu sebelum ini saya sudah update ke versi yang baru. Lah koq sekarang pas mau pakai aplikasi BSI mobile banking ini minta di update lg. Kalau saya pilih cancel maka apl BSI ny tidak terbuka. Yah terpaksa saya pilih Ok utk update kembali. Knp bisa gitu ya?","0","0","-1","0"
"Ini nyatanya bank syariah apa konvensional, mengapa sekarang ada potongannya kalau setiap bulan, berbeda dengan awal-awal seperti dahulu tanpa ada potongan sama sekali tiap bulan, mohon dikoreksi kembali","-1","0","0","0"
"Ya Allah, kok saldo yang saya tf dari e walet gak nyampe nyampee ya setelah update.","0","-1","-1","0"
"bingung dengan aplikasi mobile banking nya kok bisa setiap 2 bulan sekali harus di upgrade,, maaf kalau saya kasih retting nya rendah","0","0","-1","0"
"Sudah di update,tp pas buka lagi harus di update lagi😑","0","0","-1","0"
"Habis di update kenapa malah tidak bisa dibuka ya? Padahal butuh untuk pembayaran nontunai dan transfer","0","-1","-1","0"
"Kenapa ga bisa di ss lg pemberitahuan uang yg trkirim??? Mau ngirim bukti tf gmn caranya?? Haduhh..nyesel pulak udh update 😏","0","-1","-1","0"
"assalamu'alaikum, aplikasinya setelah update malah gak bisa ambil screenshot, saya agak kerepotan mengirim bukti transfer yg bahkan tidak ada notifikasi masuk, saya juga kerepotan waktu mau kirim bukti tf, ada tombol ""bagikan"" tp malah gak bisa dibuka di wa, bukannya memudahkan malah merepotkan, mohon untuk apk nya diperingan, apk ini terlalu berat untuk hp kentang saya, terima kasih, mohon dijadikan perhatian untuk team IT nya","-1","-1","-1","0"
"Setelah saya update, udah gk bisa ss lg. Padahal itu penting utk mengirimkan bukti tf","0","-1","-1","0"
"Knapa gak bisa di screenshot transaksi nya? Sangat tidak mendukung versi terbaru ini? Bagai mana bila saya di minta bukti transfer dll , bila tidak bisa di screnshot.","0","-1","-1","0"
"Tolong developer, jangan kebanyakan pembaruan aplikasi. Lagi urgen mau transfer jadi kehambat sama pembaruan aplikasi mana penyimpanan saya penuh ditambah aplikasi gak mau dibuka kalo gak diperbarui dulu. Mohon jangan terlalu banyak pembaruan, ini sangat mengganggu","-1","-1","-1","0"
"Tolong dong di upgrade... Gak bisa di buka app bsi nya... Saya urgent mau pake app ini...","-1","0","-1","0"
"Udah update sebulan yg lalu, kok ini minta update lagi tu maksudnya gimanaa?!!!! Kasihanilah yg memorinya kecil penuh isi kerjaan semua😭😭","0","0","-1","0"
"Setelah update udah gak bisa screenshot.","0","0","-1","0"
"Kemarin sempet isi pulsa lewat banking . .. trus pas udh ok.. malah pending tpi gagal pengiriman nya. Cuma di resi nya udh keluar nominalnya. Pas cek di aplikasi (axis) nya. Malah ga masuk saldo nya. Kira2 adakah yg lain pernah ngalamin juga..","-1","-1","0","0"
"maaf sy berikan bintang 1 karena mau verifikasi online secara video call saja aplikasinya malah error suka keluar sendiri dan harus berulang2 daftar pakai email lain, telpon call centernya malah ujung2nya disuruh ke kantor cabang, untuk apa ada fitur online kalau ujung2nya ke kantor cabang??! bagaimana mau efisien kalau bgini terutama kita yang jauh dari kantor cabang dan waktu terbatas karena kerja???!! tolong lah dibenahi systemnya jangan kalah sama Bank Swasta yg fitur online nya lebih baik","-1","0","-1","-1"
"Mengapa setelah update versi terbaru malah mkin tidak memuaskan bertransaksi d aplikasi ini. Di screnshot tidak bisa lagi,waktu mau masukan sandi,mau tekan tombol angka a berubah ke hurus,,jd kesal.","0","-1","-1","-1"
"Gak bisa screenshoot hasil transfer or apapun.. malah dsuruh ke kantor BSI, MAKSUDNYA GIMANA","-1","-1","-1","0"
"Setelah update aplikasi tidak bisa digunakan,sudah hub call center dan ikuti instruksi belum berhasil.","-1","0","-1","0"
"Sejak di update, kok susah verifikasi wajah","0","0","-1","-1"
"Mudah, cepat, akurat","0","0","1","0"
"MAKIN LAMA MAKIN BOBROK.. APK STELAH UPDATE TIDAK BISA SCREENSHOT SLIP TF. KALO D SHARE TP TIDAK TRSIMPAN D GALERI MISAL SEWAKTU2 D PERLUKAN ITU GMANA ? CARI2 CEK EMAIL DLL ? ITU YANG UPDATE APK CONTOH2 SDM RENDAH.","0","-1","-1","0"
"Kenapa sdh di update malah gak bisa dibuka? ?","0","0","-1","0"
"Sebelum di update bisa screenshot diaplikasi,setelah di update kok malah gak bisa? Keterangannya"" aplikasi tidak mengizinkan"" Kok malah jadi tambah ribet setelah update ni min?","0","0","-1","0"
"Kenapa gak bisa di proses baru buka rekening pas di pin baru,knpa ya tolong dong ,,.?kalo sudah bener saya kasih bintang 5","-1","0","-1","0"
"Terus²an muncul close overlapping popups. Keyboard gak muncul. Sudah ikutin arah CS bank bsi nya juga tetep gak ketemu solusi sudah seminggu lebih. Ta liat disini banyak punya permasalahan yg sama. Semoga pengembang aplikasi lekas berbenah. Jujur aja kapok jadi pengguna mobile BSI","-1","0","-1","0"
"Setelah update kenapa ga bisa screenshoot saldo ya. Beberapa orang butuh itu untuk kepentingan kerja, update seperti apa itu","-1","0","-1","0"
"Daripada bangun gedung tinggi di Aceh mending perbaiki dulu aplikasi, sistem, sama mesin atmnya. Tarik tunai tanpa kertu sering bermasalah di BSI","-1","-1","-1","0"
"Aduuuhhh disaat genting malah suruh update, klo cepet gak papa ini luama banget, malah ngabisin waktu keteteran semua, update gak usah sering-sering kenapa? Lagipula mbaking Saya gak kerasa ada perubahan juga setelah update...","-1","0","-1","0"
"Transaksi jadi lebi mudah dan pelayanan ramah sukses selalu buat bsi","1","1","0","0"
"Mbangking nya ko setelah di update versi baru trus tf ngga bisa di screenshot yah🤔","0","-1","-1","0"
"Memangnya Aman Perbarui Melulu?, Baru Beberapa Hari Lalu Harus Update, Ud Update Lg.. Kalau Gk Update, Gk Bs Dibuka.","0","0","-1","-1"
"Tidak bisa menggunakan QRIS untuk transaksi, segera perbaiki supaya tidak kehilangan nasabah!!","-1","-1","0","0"
